date,count,total
10/27/2017,1,809
10/28/2017,3,812
10/29/2017,4,816
10/30/2017,1,817
10/31/2017,5,822
11/01/2017,2,824
11/02/2017,3,827
11/03/2017,4,831
11/04/2017,6,837
11/05/2017,3,840
11/06/2017,2,842
11/07/2017,2,844
11/08/2017,4,848
11/09/2017,5,853
11/10/2017,6,859
11/11/2017,3,862
11/12/2017,1,863
11/13/2017,2,865
11/14/2017,3,868
11/15/2017,5,873
11/16/2017,1,874
11/17/2017,5,879
11/18/2017,3,882
11/19/2017,3,885
11/20/2017,1,886
11/23/2017,5,891
11/24/2017,2,893
11/25/2017,1,894
11/26/2017,3,897
11/27/2017,2,899
11/28/2017,3,902
11/29/2017,2,904
11/30/2017,2,906
12/01/2017,2,908
12/02/2017,2,910
12/03/2017,1,911
12/04/2017,1,912
12/05/2017,2,914
12/06/2017,3,917
12/07/2017,4,921
12/08/2017,1,922
12/09/2017,2,924
12/10/2017,4,928
12/11/2017,2,930
12/12/2017,1,931
12/13/2017,2,933
12/14/2017,1,934
12/15/2017,4,938
12/17/2017,4,942
12/18/2017,1,943
12/19/2017,3,946
12/20/2017,4,950
12/21/2017,3,953
12/22/2017,3,956
12/23/2017,2,958
12/24/2017,3,961
12/25/2017,3,964
12/26/2017,8,972
12/27/2017,3,975
12/28/2017,3,978
12/29/2017,1,979
12/30/2017,3,982
12/31/2017,2,984
01/01/2018,3,3
01/02/2018,3,6
01/03/2018,1,7
01/04/2018,2,9
01/05/2018,3,12
01/06/2018,9,21
01/07/2018,5,26
01/08/2018,5,31
01/09/2018,1,32
01/10/2018,1,33
01/11/2018,3,36
01/12/2018,7,43
01/13/2018,1,44
01/14/2018,1,45
01/15/2018,1,46
01/16/2018,4,50
01/17/2018,6,56
01/18/2018,1,57
01/19/2018,1,58
01/20/2018,5,63
01/21/2018,2,65
01/22/2018,7,72
01/23/2018,4,76
01/24/2018,2,78
01/25/2018,4,82
01/26/2018,4,86
01/27/2018,3,89
01/28/2018,4,93
01/29/2018,3,96
01/30/2018,1,97
01/31/2018,2,99
02/01/2018,9,108
02/02/2018,2,110
02/03/2018,3,113
02/04/2018,1,114
02/05/2018,2,116
02/06/2018,4,120
02/07/2018,1,121
02/08/2018,2,123
02/09/2018,3,126
02/10/2018,4,130
02/11/2018,3,133
02/12/2018,1,134
02/13/2018,3,137
02/14/2018,5,142
02/15/2018,3,145
02/16/2018,2,147
02/17/2018,4,151
02/18/2018,1,152
02/19/2018,3,155
02/21/2018,6,161
02/22/2018,2,163
02/23/2018,2,165
02/24/2018,1,166
02/25/2018,3,169
02/26/2018,5,174
02/27/2018,3,177
02/28/2018,2,179
03/01/2018,2,181
03/02/2018,6,187
03/03/2018,3,190
03/04/2018,1,191
03/05/2018,7,198
03/06/2018,6,204
03/07/2018,3,207
03/08/2018,4,211
03/09/2018,3,214
03/10/2018,2,216
03/11/2018,3,219
03/12/2018,8,227
03/13/2018,1,228
03/14/2018,3,231
03/15/2018,1,232
03/16/2018,5,237
03/17/2018,1,238
03/18/2018,3,241
03/19/2018,4,245
03/20/2018,4,249
03/21/2018,5,254
03/22/2018,2,256
03/23/2018,8,264
03/24/2018,3,267
03/25/2018,1,268
03/26/2018,1,269
03/27/2018,5,274
03/28/2018,6,280
03/29/2018,4,284
03/30/2018,2,286
03/31/2018,2,288
04/01/2018,9,297
04/03/2018,1,298
04/04/2018,6,304
04/05/2018,8,312
04/06/2018,4,316
04/07/2018,2,318
04/08/2018,4,322
04/09/2018,4,326
04/10/2018,4,330
04/11/2018,5,335
04/12/2018,5,340
04/13/2018,2,342
04/14/2018,5,347
04/15/2018,1,348
04/17/2018,4,352
04/18/2018,5,357
04/20/2018,3,360
04/21/2018,2,362
04/22/2018,2,364
04/24/2018,4,368
04/25/2018,5,373
04/26/2018,3,376
04/28/2018,4,380
04/29/2018,4,384
