date,count,total
2/1/2018,9,3039
2/2/2018,2,3041
2/3/2018,3,3044
2/4/2018,1,3045
2/5/2018,2,3047
2/6/2018,4,3051
2/7/2018,1,3052
2/8/2018,2,3054
2/9/2018,3,3057
2/10/2018,4,3061
2/11/2018,3,3064
2/12/2018,1,3065
2/13/2018,3,3068
2/14/2018,5,3073
2/15/2018,3,3076
2/16/2018,2,3078
2/17/2018,4,3082
2/18/2018,1,3083
2/19/2018,3,3086
2/21/2018,6,3092
2/22/2018,2,3094
2/23/2018,2,3096
2/24/2018,1,3097
2/25/2018,3,3100
2/26/2018,5,3105
2/27/2018,3,3108
2/28/2018,2,3110
3/1/2018,2,3112
3/2/2018,6,3118
3/3/2018,3,3121
3/4/2018,1,3122
3/5/2018,7,3129
3/6/2018,6,3135
3/7/2018,3,3138
3/8/2018,4,3142
3/9/2018,3,3145
3/10/2018,2,3147
3/11/2018,3,3150
3/12/2018,8,3158
3/13/2018,1,3159
3/14/2018,3,3162
3/15/2018,1,3163
3/16/2018,5,3168
3/17/2018,1,3169
3/18/2018,3,3172
3/19/2018,4,3176
3/20/2018,4,3180
3/21/2018,5,3185
3/22/2018,2,3187
3/23/2018,8,3195
3/24/2018,3,3198
3/25/2018,1,3199
3/26/2018,1,3200
3/27/2018,5,3205
3/28/2018,6,3211
3/29/2018,4,3215
3/30/2018,2,3217
3/31/2018,2,3219
4/1/2018,9,3228
4/3/2018,1,3229
4/4/2018,6,3235
4/5/2018,8,3243
4/6/2018,4,3247
4/7/2018,2,3249
4/8/2018,4,3253
4/9/2018,4,3257
4/10/2018,4,3261
4/11/2018,5,3266
4/12/2018,5,3271
4/13/2018,2,3273
4/14/2018,5,3278
4/15/2018,1,3279
4/17/2018,4,3283
4/18/2018,5,3288
4/20/2018,3,3291
4/21/2018,2,3293
4/22/2018,2,3295
4/24/2018,4,3299
4/25/2018,5,3304
4/26/2018,3,3307
4/28/2018,4,3311
4/29/2018,4,3315
4/30/2018,2,3317
5/1/2018,3,3320
5/2/2018,5,3325
5/3/2018,2,3327
5/4/2018,2,3329
5/5/2018,4,3333
5/6/2018,4,3337
5/7/2018,6,3343
5/8/2018,4,3347
5/9/2018,1,3348
5/10/2018,2,3350
5/11/2018,6,3356
5/12/2018,1,3357
5/13/2018,4,3361
5/14/2018,6,3367
5/15/2018,1,3368
5/16/2018,1,3369
5/17/2018,1,3370
5/18/2018,3,3373
5/19/2018,3,3376
5/20/2018,1,3377
5/21/2018,2,3379
5/22/2018,1,3380
5/23/2018,3,3383
5/24/2018,2,3385
5/25/2018,3,3388
5/26/2018,1,3389
5/27/2018,3,3392
5/28/2018,1,3393
5/29/2018,3,3396
5/30/2018,2,3398
5/31/2018,2,3400
6/1/2018,3,3403
6/2/2018,1,3404
6/3/2018,3,3407
6/4/2018,1,3408
6/5/2018,2,3410
6/6/2018,4,3414
6/7/2018,4,3418
6/8/2018,2,3420
6/9/2018,2,3422
6/10/2018,1,3423
6/11/2018,2,3425
6/12/2018,4,3429
6/13/2018,3,3432
6/14/2018,7,3439
6/15/2018,1,3440
6/16/2018,5,3445
6/17/2018,2,3447
6/19/2018,4,3451
6/20/2018,3,3454
6/22/2018,5,3459
6/23/2018,7,3466
6/25/2018,4,3470
6/27/2018,1,3471
6/29/2018,9,3480
7/1/2018,4,3484
7/3/2018,4,3488
7/4/2018,3,3491
